word,graphemes,phoneme_count,digraphs,trigraphs,blends,difficulty,clusters3,vowel_teams,r_controlled,floss,letter_count,syllable_count,onset,rime,level,is_common,secondary_patterns
ofcourse,o|f|c|our|s|e,6,,,,2,,,our,,8,2,,ofcourse,7,no,our
chef,ch|e|f,3,ch,,,1,,,,,4,1,ch,ef,2,no,ch
shiraz,sh|ir|a|z,4,sh,,,2,,,ir,,6,2,sh,iraz,6,no,"sh,ir"
running,r|u|nn|i|ng,5,ng,,,1,,,,,7,2,r,unning,2,yes,ng
woke,w|o|k|e,4,,,,1,,,,,4,1,w,oke,1,no,
sound,s|ou|nd,3,,,nd,2,,ou,,,5,1,s,ound,6,no,"nd,ou"
tommy,t|o|mm|y,4,,,,1,,,,,5,1,t,ommy,1,no,
baker,b|a|k|er,4,,,,2,,,er,,5,2,b,aker,6,no,er
oven,o|v|e|n,4,,,,1,,,,,4,2,,oven,1,no,
zander,z|a|nd|er,4,,,nd,2,,,er,,6,2,z,ander,6,no,"nd,er"
hard,h|ar|d,3,,,,2,,,ar,,4,1,h,ard,6,no,ar
alien,a|l|ie|n,4,,,,2,,ie,,,5,2,,alien,5,no,ie
money,m|o|n|ey,4,,,,2,,ey,,,5,2,m,oney,6,no,ey
growing,gr|ow|i|ng,4,ng,,gr,2,,ow,,,7,2,gr,owing,6,no,"ng,gr,ow"
himself,h|i|m|s|e|lf,6,,,lf,2,,,,,7,2,h,imself,3,no,lf
neighbors,n|eigh|b|or|s,5,,,,2,,eigh,or,,9,2,n,eighbors,8,no,"eigh,or"
floating,fl|oa|t|i|ng,5,ng,,fl,2,,oa,,,8,2,fl,oating,5,no,"ng,fl,oa"
walked,w|a|lk|e|d,5,,,lk,1,,,,,6,2,w,alked,3,no,lk
plant,pl|a|nt,3,,,"pl,nt",2,,,,,5,1,pl,ant,3,yes,"pl,nt"
pointed,p|oi|nt|e|d,5,,,nt,2,,oi,,,7,2,p,ointed,6,no,"nt,oi"
laser,l|a|s|er,4,,,,2,,,er,,5,2,l,aser,6,no,er
gave,g|a|v|e,4,,,,1,,,,,4,1,g,ave,1,yes,
needed,n|ee|d|e|d,5,,,,2,,ee,,,6,2,n,eeded,5,no,ee
easy,ea|s|y,3,,,,2,,ea,,,4,1,,easy,5,no,ea
part,p|ar|t,3,,,,2,,,ar,,4,1,p,art,6,no,ar
much,m|u|ch,3,ch,,,1,,,,,4,1,m,uch,2,no,ch
door,d|oor,2,,,,2,,,oor,,4,1,d,oor,7,no,oor
locked,l|o|ck|e|d,5,ck,,,1,,,,,6,2,l,ocked,2,no,ck
looked,l|oo|k|e|d,5,,,,2,,oo,,,6,2,l,ooked,6,yes,oo
heard,h|ear|d,3,,,,2,,,ear,,5,1,h,eard,7,no,ear
knock,kn|o|ck,3,"kn,ck",,,1,,,,,5,1,kn,ock,4,no,"kn,ck"
jules,j|u|l|e|s,5,,,,1,,,,,5,2,j,ules,1,no,
holding,h|o|ld|i|ng,5,ng,,ld,1,,,,,7,2,h,olding,3,no,"ng,ld"
cleaning,cl|ea|n|i|ng,5,ng,,cl,2,,ea,,,8,2,cl,eaning,5,no,"ng,cl,ea"
products,pr|o|d|u|ct|s,6,,,"pr,ct",1,,,,,8,2,pr,oducts,3,no,"pr,ct"
asked,a|sk|e|d,4,,,sk,1,,,,,5,2,,asked,3,no,sk
spray,spr|ay,2,,,,3,spr,ay,,,5,1,spr,ay,5,no,"spr,ay"
enough,e|n|ough,3,,,,2,,ough,,,6,2,,enough,8,no,ough
breakfast,br|ea|k|f|a|st,6,,,"br,st",2,,ea,,,9,2,br,eakfast,5,no,"br,st,ea"
bottle,b|o|tt|l|e,5,,,,1,,,,,6,2,b,ottle,1,no,
week,w|ee|k,3,,,,2,,ee,,,4,1,w,eek,5,no,ee
about,a|b|ou|t,4,,,,2,,ou,,,5,2,,about,6,yes,ou
weak,w|ea|k,3,,,,2,,ea,,,4,1,w,eak,5,no,ea
lunch,l|u|n|ch,4,ch,,,1,,,,,5,1,l,unch,2,no,ch
need,n|ee|d,3,,,,2,,ee,,,4,1,n,eed,5,no,ee
couple,c|ou|pl|e,4,,,pl,2,,ou,,,6,2,c,ouple,6,no,"pl,ou"
more,m|ore,2,,,,2,,,ore,,4,1,m,ore,7,no,ore
hours,h|our|s,3,,,,2,,,our,,5,1,h,ours,7,no,our
grow,gr|ow,2,,,gr,2,,ow,,,4,1,gr,ow,6,no,"gr,ow"
before,b|e|f|ore,4,,,,2,,,ore,,6,2,b,efore,7,no,ore
them,th|e|m,3,th,,,1,,,,,4,1,th,em,2,yes,th
think,th|i|nk,3,th,,nk,2,,,,,5,1,th,ink,3,yes,"th,nk"
thats,th|a|t|s,4,th,,,1,,,,,5,1,th,ats,2,no,th
far,f|ar,2,,,,2,,,ar,,3,1,f,ar,6,no,ar
walk,w|a|lk,3,,,lk,2,,,,,4,1,w,alk,3,no,lk
right,r|igh|t,3,,igh,,2,,,,,5,1,r,ight,4,yes,igh
write,wr|i|t|e,4,wr,,,1,,,,,5,1,wr,ite,4,no,wr
bring,br|i|ng,3,ng,,br,1,,,,,5,1,br,ing,3,yes,"ng,br"
their,th|ei|r,3,th,,,2,,ei,,,5,1,th,eir,6,yes,"th,ei"
there,th|ere,2,th,,,2,,,ere,,5,1,th,ere,7,yes,"th,ere"
done,d|o|n|e,4,,,,1,,,,,4,1,d,one,1,no,
promise,pr|o|m|i|s|e,6,,,pr,1,,,,,7,2,pr,omise,3,no,pr
could,c|ou|ld,3,,,ld,2,,ou,,,5,1,c,ould,6,yes,"ld,ou"
knew,kn|ew,2,kn,,,2,,ew,,,4,1,kn,ew,6,no,"kn,ew"
trust,tr|u|st,3,,,"tr,st",1,,,,,5,1,tr,ust,3,no,"tr,st"
went,w|e|nt,3,,,nt,2,,,,,4,1,w,ent,3,yes,nt
then,th|e|n,3,th,,,1,,,,,4,1,th,en,2,yes,th
came,c|a|m|e,4,,,,1,,,,,4,1,c,ame,1,no,
later,l|a|t|er,4,,,,2,,,er,,5,2,l,ater,6,no,er
plants,pl|a|nt|s,4,,,"pl,nt",1,,,,,6,1,pl,ants,3,no,"pl,nt"
started,st|ar|t|e|d,5,,,st,2,,,ar,,7,2,st,arted,6,no,"st,ar"
talking,t|a|lk|i|ng,5,ng,,lk,1,,,,,7,2,t,alking,3,no,"ng,lk"
wish,w|i|sh,3,sh,,,1,,,,,4,1,w,ish,2,yes,sh
easier,ea|s|ie|r,4,,,,2,,"ea,ie",,,6,2,,easier,5,no,"ea,ie"
way,w|ay,2,,,,2,,ay,,,3,1,w,ay,5,yes,ay
items,i|t|e|m|s,5,,,,1,,,,,5,2,,items,1,no,
trading,tr|a|d|i|ng,5,ng,,tr,1,,,,,7,2,tr,ading,3,no,"ng,tr"
isnt,i|sn|t,3,,,sn,1,,,,,4,1,,isnt,3,no,sn
always,a|l|w|ay|s,5,,,,2,,ay,,,6,2,,always,5,no,ay
sometimes,s|o|m|e|t|i|m|e|s,9,,,,1,,,,,9,4,s,ometimes,1,no,
dont,d|o|nt,3,,,nt,2,,,,,4,1,d,ont,3,no,nt
many,m|a|n|y,4,,,,1,,,,,4,1,m,any,1,no,
ready,r|ea|d|y,4,,,,2,,ea,,,5,1,r,eady,5,no,ea
agreed,a|gr|ee|d,4,,,gr,2,,ee,,,6,2,,agreed,5,no,"gr,ee"
thinking,th|i|nk|i|ng,5,"th,ng",,nk,1,,,,,8,2,th,inking,3,no,"th,ng,nk"
wishing,w|i|sh|i|ng,5,"sh,ng",,,1,,,,,7,2,w,ishing,2,no,"sh,ng"
make,m|a|k|e,4,,,,1,,,,,4,1,m,ake,1,yes,
lives,l|i|v|e|s,5,,,,1,,,,,5,2,l,ives,1,no,
still,st|i|ll,3,,,st,1,,,,ll,5,1,st,ill,3,yes,"st,ll"
deep,d|ee|p,3,,,,2,,ee,,,4,1,d,eep,5,no,ee
shaking,sh|a|k|i|ng,5,"sh,ng",,,1,,,,,7,2,sh,aking,2,no,"sh,ng"
spoon,sp|oo|n,3,,,sp,2,,oo,,,5,1,sp,oon,6,no,"sp,oo"
sorry,s|or|r|y,4,,,,2,,,or,,5,1,s,orry,6,no,or
sir,s|ir,2,,,,2,,,ir,,3,1,s,ir,6,no,ir
didnt,d|i|d|nt,4,,,nt,2,,,,,5,1,d,idnt,3,no,nt
gone,g|o|n|e,4,,,,1,,,,,4,1,g,one,1,yes,
sigh,s|igh,2,,igh,,2,,,,,4,1,s,igh,4,no,igh
bakery,b|a|k|er|y,5,,,,2,,,er,,6,2,b,akery,6,no,er
every,e|v|er|y,4,,,,2,,,er,,5,2,,every,6,no,er
stay,st|ay,2,,,st,2,,ay,,,4,1,st,ay,5,no,"st,ay"
business,b|u|s|i|n|e|ss,7,,,,1,,,,ss,8,3,b,usiness,2,no,ss
gingerbread,g|i|ng|er|br|ea|d,7,ng,,br,2,,ea,er,,11,3,g,ingerbread,6,no,"ng,br,ea,er"
keeping,k|ee|p|i|ng,5,ng,,,2,,ee,,,7,2,k,eeping,5,no,"ng,ee"
excuse,e|x|c|u|s|e,6,,,,1,,,,,6,2,,excuse,1,no,
replied,r|e|pl|ie|d,5,,,pl,2,,ie,,,7,2,r,eplied,5,no,"pl,ie"
stepped,st|e|pp|e|d,5,,,st,1,,,,,7,2,st,epped,3,no,st
closer,cl|o|s|er,4,,,cl,2,,,er,,6,2,cl,oser,6,no,"cl,er"
offered,o|ff|ere|d,4,,,,2,,,ere,ff,7,3,,offered,7,no,"ere,ff"
cookies,c|oo|k|ie|s,5,,,,2,,"oo,ie",,,7,2,c,ookies,6,no,"oo,ie"
ever,e|v|er,3,,,,2,,,er,,4,2,,ever,6,no,er
taste,t|a|st|e,4,,,st,1,,,,,5,1,t,aste,3,no,st
catch,c|a|tch,3,,tch,,2,,,,,5,1,c,atch,4,no,tch
spice,sp|i|c|e,4,,,sp,1,,,,,5,1,sp,ice,3,no,sp
recipe,r|e|c|i|p|e,6,,,,1,,,,,6,2,r,ecipe,1,no,
gift,g|i|ft,3,,,ft,2,,,,,4,1,g,ift,3,no,ft
give,g|i|v|e,4,,,,1,,,,,4,1,g,ive,1,yes,
snap,sn|a|p,3,,,sn,1,,,,,4,1,sn,ap,3,no,sn
once,o|n|c|e,4,,,,1,,,,,4,1,,once,1,no,
cooked,c|oo|k|e|d,5,,,,2,,oo,,,6,2,c,ooked,6,no,oo
amazing,a|m|a|z|i|ng,6,ng,,,1,,,,,7,3,,amazing,2,no,ng
maybe,m|ay|b|e,4,,,,2,,ay,,,5,1,m,aybe,5,no,ay
something,s|o|m|e|th|i|ng,7,"th,ng",,,1,,,,,9,3,s,omething,2,no,"th,ng"
doors,d|oor|s,3,,,,2,,,oor,,5,1,d,oors,7,no,oor
took,t|oo|k,3,,,,2,,oo,,,4,1,t,ook,6,yes,oo
